Throw_Count,Simulation_Number,Dice_Rolls,Positions,Final_Position,Distance_to_A
1,195,[6],['G'],G,2
1,196,[1],['B'],B,7
1,197,[3],['D'],D,5
1,198,[1],['B'],B,7
1,199,[4],['E'],E,4
1,200,[1],['B'],B,7
1,201,[6],['G'],G,2
1,202,[5],['F'],F,3
1,203,[1],['B'],B,7
1,204,[2],['C'],C,6
1,205,[6],['G'],G,2
1,206,[2],['C'],C,6
1,207,[3],['D'],D,5
1,208,[1],['B'],B,7
1,209,[3],['D'],D,5
1,210,[2],['C'],C,6
1,211,[4],['E'],E,4
1,212,[3],['D'],D,5
1,213,[5],['F'],F,3
1,214,[1],['B'],B,7
1,215,[3],['D'],D,5
1,216,[2],['C'],C,6
1,217,[5],['F'],F,3
1,218,[4],['E'],E,4
1,219,[1],['B'],B,7
1,220,[1],['B'],B,7
1,221,[1],['B'],B,7
1,222,[5],['F'],F,3
1,223,[5],['F'],F,3
1,224,[1],['B'],B,7
1,225,[3],['D'],D,5
1,226,[5],['F'],F,3
1,227,[2],['C'],C,6
1,228,[4],['E'],E,4
1,229,[6],['G'],G,2
1,230,[4],['E'],E,4
1,231,[4],['E'],E,4
1,232,[6],['G'],G,2
1,233,[6],['G'],G,2
1,234,[2],['C'],C,6
1,235,[2],['C'],C,6
1,236,[4],['E'],E,4
1,237,[5],['F'],F,3
1,238,[2],['C'],C,6
1,239,[6],['G'],G,2
1,240,[5],['F'],F,3
1,241,[3],['D'],D,5
1,242,[2],['C'],C,6
1,243,[3],['D'],D,5
1,244,[1],['B'],B,7
1,245,[1],['B'],B,7
1,246,[2],['C'],C,6
1,247,[3],['D'],D,5
1,248,[6],['G'],G,2
1,249,[6],['G'],G,2
1,250,[3],['D'],D,5
1,251,[4],['E'],E,4
1,252,[4],['E'],E,4
1,253,[5],['F'],F,3
1,254,[5],['F'],F,3
1,255,[2],['C'],C,6
1,256,[3],['D'],D,5
1,257,[4],['E'],E,4
1,258,[5],['F'],F,3
1,259,[1],['B'],B,7
1,260,[1],['B'],B,7
1,261,[4],['E'],E,4
1,262,[4],['E'],E,4
1,263,[2],['C'],C,6
1,264,[4],['E'],E,4
1,265,[5],['F'],F,3
1,266,[2],['C'],C,6
1,267,[5],['F'],F,3
1,268,[5],['F'],F,3
1,269,[2],['C'],C,6
1,270,[5],['F'],F,3
1,271,[6],['G'],G,2
1,272,[6],['G'],G,2
1,273,[5],['F'],F,3
1,274,[2],['C'],C,6
1,275,[1],['B'],B,7
1,276,[4],['E'],E,4
1,277,[5],['F'],F,3
1,278,[6],['G'],G,2
1,279,[3],['D'],D,5
1,280,[3],['D'],D,5
1,281,[4],['E'],E,4
1,282,[2],['C'],C,6
1,283,[1],['B'],B,7
1,284,[3],['D'],D,5
1,285,[4],['E'],E,4
1,286,[1],['B'],B,7
1,287,[5],['F'],F,3
1,288,[2],['C'],C,6
1,289,[6],['G'],G,2
1,290,[3],['D'],D,5
1,291,[2],['C'],C,6
1,292,[4],['E'],E,4
1,293,[5],['F'],F,3
1,294,[6],['G'],G,2
1,295,[3],['D'],D,5
1,296,[1],['B'],B,7
1,297,[6],['G'],G,2
1,298,[5],['F'],F,3
1,299,[6],['G'],G,2
1,300,[6],['G'],G,2
1,301,[5],['F'],F,3
1,302,[3],['D'],D,5
1,303,[1],['B'],B,7
1,304,[2],['C'],C,6
1,305,[6],['G'],G,2
1,306,[5],['F'],F,3
1,307,[1],['B'],B,7
1,308,[4],['E'],E,4
1,309,[1],['B'],B,7
1,310,[5],['F'],F,3
1,311,[4],['E'],E,4
1,312,[1],['B'],B,7
1,313,[5],['F'],F,3
1,314,[4],['E'],E,4
1,315,[6],['G'],G,2
1,316,[3],['D'],D,5
1,317,[1],['B'],B,7
1,318,[5],['F'],F,3
1,319,[1],['B'],B,7
1,320,[6],['G'],G,2
1,321,[1],['B'],B,7
1,322,[1],['B'],B,7
1,323,[5],['F'],F,3
1,324,[6],['G'],G,2
1,325,[1],['B'],B,7
1,326,[2],['C'],C,6
1,327,[4],['E'],E,4
1,328,[1],['B'],B,7
1,329,[2],['C'],C,6
1,330,[6],['G'],G,2
1,331,[3],['D'],D,5
1,332,[6],['G'],G,2
1,333,[1],['B'],B,7
1,334,[2],['C'],C,6
1,335,[2],['C'],C,6
1,336,[5],['F'],F,3
1,337,[6],['G'],G,2
1,338,[6],['G'],G,2
1,339,[2],['C'],C,6
1,340,[1],['B'],B,7
1,341,[3],['D'],D,5
1,342,[5],['F'],F,3
1,343,[5],['F'],F,3
1,344,[1],['B'],B,7
1,345,[1],['B'],B,7
1,346,[5],['F'],F,3
1,347,[6],['G'],G,2
1,348,[6],['G'],G,2
1,349,[4],['E'],E,4
1,350,[6],['G'],G,2
1,351,[5],['F'],F,3
1,352,[5],['F'],F,3
1,353,[4],['E'],E,4
1,354,[3],['D'],D,5
1,355,[5],['F'],F,3
1,356,[6],['G'],G,2
1,357,[4],['E'],E,4
1,358,[5],['F'],F,3
1,359,[6],['G'],G,2
1,360,[3],['D'],D,5
1,361,[1],['B'],B,7
1,362,[3],['D'],D,5
1,363,[2],['C'],C,6
1,364,[2],['C'],C,6
1,365,[3],['D'],D,5
1,366,[5],['F'],F,3
1,367,[2],['C'],C,6
1,368,[5],['F'],F,3
1,369,[3],['D'],D,5
1,370,[3],['D'],D,5
1,371,[3],['D'],D,5
1,372,[5],['F'],F,3
1,373,[2],['C'],C,6
1,374,[2],['C'],C,6
1,375,[4],['E'],E,4
1,376,[2],['C'],C,6
1,377,[4],['E'],E,4
1,378,[3],['D'],D,5
1,379,[3],['D'],D,5
1,380,[3],['D'],D,5
1,381,[1],['B'],B,7
1,382,[4],['E'],E,4
1,383,[3],['D'],D,5
1,384,[5],['F'],F,3
1,385,[1],['B'],B,7
1,386,[2],['C'],C,6
1,387,[4],['E'],E,4
1,388,[4],['E'],E,4
1,389,[5],['F'],F,3
1,390,[6],['G'],G,2
1,391,[1],['B'],B,7
1,392,[2],['C'],C,6
1,393,[5],['F'],F,3
1,394,[2],['C'],C,6
1,395,[6],['G'],G,2
1,396,[2],['C'],C,6
1,397,[1],['B'],B,7
1,398,[2],['C'],C,6
1,399,[3],['D'],D,5
1,400,[3],['D'],D,5
1,401,[2],['C'],C,6
1,402,[3],['D'],D,5
1,403,[1],['B'],B,7
1,404,[6],['G'],G,2
1,405,[6],['G'],G,2
1,406,[3],['D'],D,5
1,407,[1],['B'],B,7
1,408,[6],['G'],G,2
1,409,[2],['C'],C,6
1,410,[6],['G'],G,2
1,411,[6],['G'],G,2
1,412,[4],['E'],E,4
1,413,[2],['C'],C,6
1,414,[1],['B'],B,7
1,415,[4],['E'],E,4
1,416,[1],['B'],B,7
1,417,[3],['D'],D,5
1,418,[1],['B'],B,7
1,419,[1],['B'],B,7
1,420,[2],['C'],C,6
1,421,[2],['C'],C,6
1,422,[5],['F'],F,3
1,423,[3],['D'],D,5
1,424,[6],['G'],G,2
1,425,[4],['E'],E,4
1,426,[6],['G'],G,2
1,427,[6],['G'],G,2
1,428,[6],['G'],G,2
1,429,[6],['G'],G,2
1,430,[3],['D'],D,5
1,431,[3],['D'],D,5
1,432,[4],['E'],E,4
1,433,[5],['F'],F,3
1,434,[5],['F'],F,3
1,435,[2],['C'],C,6
1,436,[2],['C'],C,6
1,437,[1],['B'],B,7
1,438,[6],['G'],G,2
1,439,[1],['B'],B,7
1,440,[6],['G'],G,2
1,441,[5],['F'],F,3
1,442,[2],['C'],C,6
1,443,[5],['F'],F,3
1,444,[5],['F'],F,3
1,445,[4],['E'],E,4
1,446,[4],['E'],E,4
1,447,[4],['E'],E,4
1,448,[1],['B'],B,7
1,449,[5],['F'],F,3
1,450,[3],['D'],D,5
1,451,[3],['D'],D,5
1,452,[4],['E'],E,4
1,453,[6],['G'],G,2
1,454,[2],['C'],C,6
1,455,[6],['G'],G,2
1,456,[4],['E'],E,4
1,457,[1],['B'],B,7
1,458,[6],['G'],G,2
1,459,[3],['D'],D,5
1,460,[2],['C'],C,6
1,461,[1],['B'],B,7
1,462,[5],['F'],F,3
1,463,[3],['D'],D,5
1,464,[2],['C'],C,6
1,465,[3],['D'],D,5
1,466,[1],['B'],B,7
1,467,[6],['G'],G,2
1,468,[1],['B'],B,7
1,469,[1],['B'],B,7
1,470,[3],['D'],D,5
1,471,[4],['E'],E,4
1,472,[6],['G'],G,2
1,473,[4],['E'],E,4
1,474,[1],['B'],B,7
1,475,[1],['B'],B,7
1,476,[3],['D'],D,5
1,477,[1],['B'],B,7
1,478,[3],['D'],D,5
1,479,[2],['C'],C,6
1,480,[1],['B'],B,7
1,481,[2],['C'],C,6
1,482,[3],['D'],D,5
1,483,[6],['G'],G,2
1,484,[1],['B'],B,7
1,485,[3],['D'],D,5
1,486,[2],['C'],C,6
1,487,[2],['C'],C,6
1,488,[5],['F'],F,3
1,489,[3],['D'],D,5
1,490,[6],['G'],G,2
1,491,[1],['B'],B,7
1,492,[1],['B'],B,7
1,493,[4],['E'],E,4
1,494,[4],['E'],E,4
1,495,[1],['B'],B,7
1,496,[3],['D'],D,5
1,497,[3],['D'],D,5
1,498,[6],['G'],G,2
1,499,[6],['G'],G,2
1,500,[5],['F'],F,3
1,501,[5],['F'],F,3
1,502,[4],['E'],E,4
1,503,[6],['G'],G,2
1,504,[1],['B'],B,7
1,505,[6],['G'],G,2
1,506,[4],['E'],E,4
1,507,[6],['G'],G,2
1,508,[6],['G'],G,2
1,509,[6],['G'],G,2
1,510,[1],['B'],B,7
1,511,[5],['F'],F,3
1,512,[4],['E'],E,4
1,513,[2],['C'],C,6
1,514,[5],['F'],F,3
1,515,[4],['E'],E,4
1,516,[2],['C'],C,6
1,517,[1],['B'],B,7
1,518,[2],['C'],C,6
1,519,[4],['E'],E,4
1,520,[5],['F'],F,3
1,521,[2],['C'],C,6
1,522,[1],['B'],B,7
1,523,[5],['F'],F,3
1,524,[5],['F'],F,3
1,525,[2],['C'],C,6
1,526,[6],['G'],G,2
1,527,[5],['F'],F,3
1,528,[6],['G'],G,2
1,529,[5],['F'],F,3
1,530,[3],['D'],D,5
1,531,[1],['B'],B,7
1,532,[4],['E'],E,4
1,533,[3],['D'],D,5
1,534,[4],['E'],E,4
1,535,[5],['F'],F,3
1,536,[5],['F'],F,3
1,537,[4],['E'],E,4
1,538,[1],['B'],B,7
1,539,[2],['C'],C,6
1,540,[1],['B'],B,7
1,541,[2],['C'],C,6
1,542,[3],['D'],D,5
1,543,[1],['B'],B,7
1,544,[5],['F'],F,3
1,545,[6],['G'],G,2
1,546,[5],['F'],F,3
1,547,[5],['F'],F,3
1,548,[6],['G'],G,2
1,549,[4],['E'],E,4
1,550,[1],['B'],B,7
1,551,[4],['E'],E,4
1,552,[4],['E'],E,4
1,553,[4],['E'],E,4
1,554,[3],['D'],D,5
1,555,[2],['C'],C,6
1,556,[1],['B'],B,7
1,557,[1],['B'],B,7
1,558,[1],['B'],B,7
1,559,[4],['E'],E,4
1,560,[3],['D'],D,5
1,561,[5],['F'],F,3
1,562,[5],['F'],F,3
1,563,[1],['B'],B,7
1,564,[6],['G'],G,2
1,565,[6],['G'],G,2
1,566,[1],['B'],B,7
1,567,[6],['G'],G,2
1,568,[3],['D'],D,5
1,569,[4],['E'],E,4
1,570,[2],['C'],C,6
1,571,[1],['B'],B,7
1,572,[4],['E'],E,4
1,573,[5],['F'],F,3
1,574,[1],['B'],B,7
1,575,[6],['G'],G,2
1,576,[3],['D'],D,5
1,577,[1],['B'],B,7
1,578,[6],['G'],G,2
1,579,[4],['E'],E,4
1,580,[5],['F'],F,3
1,581,[5],['F'],F,3
1,582,[2],['C'],C,6
1,583,[6],['G'],G,2
1,584,[2],['C'],C,6
1,585,[6],['G'],G,2
1,586,[1],['B'],B,7
1,587,[6],['G'],G,2
1,588,[1],['B'],B,7
1,589,[3],['D'],D,5
1,590,[6],['G'],G,2
1,591,[1],['B'],B,7
1,592,[1],['B'],B,7
1,593,[1],['B'],B,7
1,594,[5],['F'],F,3
1,595,[2],['C'],C,6
1,596,[2],['C'],C,6
1,597,[5],['F'],F,3
1,598,[6],['G'],G,2
1,599,[4],['E'],E,4
1,600,[3],['D'],D,5
1,601,[6],['G'],G,2
1,602,[5],['F'],F,3
1,603,[1],['B'],B,7
1,604,[1],['B'],B,7
1,605,[3],['D'],D,5
1,606,[1],['B'],B,7
1,607,[1],['B'],B,7
1,608,[1],['B'],B,7
1,609,[3],['D'],D,5
1,610,[3],['D'],D,5
1,611,[4],['E'],E,4
1,612,[3],['D'],D,5
1,613,[4],['E'],E,4
1,614,[5],['F'],F,3
1,615,[1],['B'],B,7
1,616,[2],['C'],C,6
1,617,[1],['B'],B,7
1,618,[3],['D'],D,5
1,619,[2],['C'],C,6
1,620,[3],['D'],D,5
1,621,[3],['D'],D,5
1,622,[6],['G'],G,2
1,623,[6],['G'],G,2
1,624,[6],['G'],G,2
1,625,[2],['C'],C,6
1,626,[6],['G'],G,2
1,627,[4],['E'],E,4
1,628,[6],['G'],G,2
1,629,[1],['B'],B,7
1,630,[4],['E'],E,4
1,631,[5],['F'],F,3
1,632,[5],['F'],F,3
1,633,[5],['F'],F,3
1,634,[5],['F'],F,3
1,635,[6],['G'],G,2
1,636,[3],['D'],D,5
1,637,[4],['E'],E,4
1,638,[2],['C'],C,6
1,639,[1],['B'],B,7
1,640,[4],['E'],E,4
1,641,[1],['B'],B,7
1,642,[5],['F'],F,3
1,643,[6],['G'],G,2
1,644,[1],['B'],B,7
1,645,[1],['B'],B,7
1,646,[2],['C'],C,6
1,647,[6],['G'],G,2
1,648,[3],['D'],D,5
1,649,[2],['C'],C,6
1,650,[1],['B'],B,7
1,651,[4],['E'],E,4
1,652,[6],['G'],G,2
1,653,[4],['E'],E,4
1,654,[3],['D'],D,5
1,655,[2],['C'],C,6
1,656,[5],['F'],F,3
1,657,[6],['G'],G,2
1,658,[1],['B'],B,7
1,659,[5],['F'],F,3
1,660,[5],['F'],F,3
1,661,[3],['D'],D,5
1,662,[2],['C'],C,6
1,663,[3],['D'],D,5
1,664,[3],['D'],D,5
1,665,[2],['C'],C,6
1,666,[4],['E'],E,4
1,667,[6],['G'],G,2
1,668,[2],['C'],C,6
1,669,[4],['E'],E,4
1,670,[1],['B'],B,7
1,671,[2],['C'],C,6
1,672,[3],['D'],D,5
1,673,[5],['F'],F,3
1,674,[5],['F'],F,3
1,675,[4],['E'],E,4
1,676,[4],['E'],E,4
1,677,[3],['D'],D,5
1,678,[5],['F'],F,3
1,679,[6],['G'],G,2
1,680,[5],['F'],F,3
1,681,[2],['C'],C,6
1,682,[2],['C'],C,6
1,683,[4],['E'],E,4
1,684,[2],['C'],C,6
1,685,[1],['B'],B,7
1,686,[5],['F'],F,3
1,687,[1],['B'],B,7
1,688,[3],['D'],D,5
1,689,[4],['E'],E,4
1,690,[5],['F'],F,3
1,691,[4],['E'],E,4
1,692,[5],['F'],F,3
1,693,[1],['B'],B,7
1,694,[1],['B'],B,7
1,695,[2],['C'],C,6
1,696,[4],['E'],E,4
1,697,[2],['C'],C,6
1,698,[6],['G'],G,2
1,699,[4],['E'],E,4
1,700,[5],['F'],F,3
1,701,[5],['F'],F,3
1,702,[1],['B'],B,7
1,703,[3],['D'],D,5
1,704,[1],['B'],B,7
1,705,[3],['D'],D,5
1,706,[5],['F'],F,3
1,707,[1],['B'],B,7
1,708,[2],['C'],C,6
1,709,[6],['G'],G,2
1,710,[4],['E'],E,4
1,711,[3],['D'],D,5
1,712,[3],['D'],D,5
1,713,[6],['G'],G,2
1,714,[6],['G'],G,2
1,715,[4],['E'],E,4
1,716,[2],['C'],C,6
1,717,[1],['B'],B,7
1,718,[5],['F'],F,3
1,719,[1],['B'],B,7
1,720,[3],['D'],D,5
1,721,[4],['E'],E,4
1,722,[4],['E'],E,4
1,723,[2],['C'],C,6
1,724,[1],['B'],B,7
1,725,[2],['C'],C,6
1,726,[1],['B'],B,7
1,727,[1],['B'],B,7
1,728,[6],['G'],G,2
1,729,[2],['C'],C,6
1,730,[1],['B'],B,7
1,731,[4],['E'],E,4
1,732,[6],['G'],G,2
1,733,[6],['G'],G,2
1,734,[4],['E'],E,4
1,735,[5],['F'],F,3
1,736,[4],['E'],E,4
1,737,[3],['D'],D,5
1,738,[4],['E'],E,4
1,739,[6],['G'],G,2
1,740,[1],['B'],B,7
1,741,[5],['F'],F,3
1,742,[6],['G'],G,2
1,743,[4],['E'],E,4
1,744,[6],['G'],G,2
1,745,[4],['E'],E,4
1,746,[1],['B'],B,7
1,747,[6],['G'],G,2
1,748,[6],['G'],G,2
1,749,[5],['F'],F,3
1,750,[3],['D'],D,5
1,751,[3],['D'],D,5
1,752,[6],['G'],G,2
1,753,[6],['G'],G,2
1,754,[6],['G'],G,2
1,755,[4],['E'],E,4
1,756,[4],['E'],E,4
1,757,[6],['G'],G,2
1,758,[5],['F'],F,3
1,759,[3],['D'],D,5
1,760,[1],['B'],B,7
1,761,[4],['E'],E,4
1,762,[3],['D'],D,5
1,763,[3],['D'],D,5
1,764,[2],['C'],C,6
1,765,[4],['E'],E,4
1,766,[4],['E'],E,4
1,767,[1],['B'],B,7
1,768,[6],['G'],G,2
1,769,[6],['G'],G,2
1,770,[3],['D'],D,5
1,771,[4],['E'],E,4
1,772,[3],['D'],D,5
1,773,[5],['F'],F,3
1,774,[3],['D'],D,5
1,775,[6],['G'],G,2
1,776,[6],['G'],G,2
1,777,[5],['F'],F,3
1,778,[1],['B'],B,7
1,779,[2],['C'],C,6
1,780,[6],['G'],G,2
1,781,[1],['B'],B,7
1,782,[3],['D'],D,5
1,783,[1],['B'],B,7
1,784,[2],['C'],C,6
1,785,[5],['F'],F,3
1,786,[1],['B'],B,7
1,787,[1],['B'],B,7
1,788,[4],['E'],E,4
1,789,[3],['D'],D,5
1,790,[4],['E'],E,4
1,791,[5],['F'],F,3
1,792,[2],['C'],C,6
1,793,[5],['F'],F,3
1,794,[4],['E'],E,4
1,795,[2],['C'],C,6
1,796,[2],['C'],C,6
1,797,[6],['G'],G,2
1,798,[6],['G'],G,2
1,799,[3],['D'],D,5
1,800,[4],['E'],E,4
1,801,[5],['F'],F,3
1,802,[5],['F'],F,3
1,803,[6],['G'],G,2
1,804,[5],['F'],F,3
1,805,[1],['B'],B,7
1,806,[4],['E'],E,4
1,807,[4],['E'],E,4
1,808,[3],['D'],D,5
1,809,[6],['G'],G,2
1,810,[5],['F'],F,3
1,811,[4],['E'],E,4
1,812,[3],['D'],D,5
1,813,[4],['E'],E,4
1,814,[3],['D'],D,5
1,815,[2],['C'],C,6
1,816,[5],['F'],F,3
1,817,[3],['D'],D,5
1,818,[3],['D'],D,5
1,819,[3],['D'],D,5
1,820,[6],['G'],G,2
1,821,[1],['B'],B,7
1,822,[2],['C'],C,6
1,823,[4],['E'],E,4
1,824,[5],['F'],F,3
1,825,[1],['B'],B,7
1,826,[3],['D'],D,5
1,827,[4],['E'],E,4
1,828,[5],['F'],F,3
1,829,[5],['F'],F,3
1,830,[2],['C'],C,6
1,831,[2],['C'],C,6
1,832,[3],['D'],D,5
1,833,[3],['D'],D,5
1,834,[2],['C'],C,6
1,835,[1],['B'],B,7
1,836,[2],['C'],C,6
1,837,[2],['C'],C,6
1,838,[5],['F'],F,3
1,839,[5],['F'],F,3
1,840,[2],['C'],C,6
1,841,[6],['G'],G,2
1,842,[4],['E'],E,4
1,843,[1],['B'],B,7
1,844,[5],['F'],F,3
1,845,[1],['B'],B,7
1,846,[5],['F'],F,3
1,847,[4],['E'],E,4
1,848,[4],['E'],E,4
1,849,[1],['B'],B,7
1,850,[3],['D'],D,5
1,851,[6],['G'],G,2
1,852,[3],['D'],D,5
1,853,[6],['G'],G,2
1,854,[5],['F'],F,3
1,855,[5],['F'],F,3
1,856,[1],['B'],B,7
1,857,[5],['F'],F,3
1,858,[1],['B'],B,7
1,859,[3],['D'],D,5
1,860,[2],['C'],C,6
1,861,[5],['F'],F,3
1,862,[2],['C'],C,6
1,863,[6],['G'],G,2
1,864,[5],['F'],F,3
1,865,[3],['D'],D,5
1,866,[3],['D'],D,5
1,867,[2],['C'],C,6
1,868,[6],['G'],G,2
1,869,[3],['D'],D,5
1,870,[4],['E'],E,4
1,871,[4],['E'],E,4
1,872,[2],['C'],C,6
1,873,[1],['B'],B,7
1,874,[4],['E'],E,4
1,875,[1],['B'],B,7
1,876,[2],['C'],C,6
1,877,[4],['E'],E,4
1,878,[6],['G'],G,2
1,879,[4],['E'],E,4
1,880,[2],['C'],C,6
1,881,[5],['F'],F,3
1,882,[6],['G'],G,2
1,883,[1],['B'],B,7
1,884,[3],['D'],D,5
1,885,[3],['D'],D,5
1,886,[2],['C'],C,6
1,887,[3],['D'],D,5
1,888,[1],['B'],B,7
1,889,[6],['G'],G,2
1,890,[2],['C'],C,6
1,891,[5],['F'],F,3
1,892,[4],['E'],E,4
1,893,[1],['B'],B,7
1,894,[1],['B'],B,7
1,895,[2],['C'],C,6
1,896,[3],['D'],D,5
1,897,[3],['D'],D,5
1,898,[4],['E'],E,4
1,899,[6],['G'],G,2
1,900,[5],['F'],F,3
1,901,[5],['F'],F,3
1,902,[2],['C'],C,6
1,903,[1],['B'],B,7
1,904,[4],['E'],E,4
1,905,[6],['G'],G,2
1,906,[2],['C'],C,6
1,907,[4],['E'],E,4
1,908,[1],['B'],B,7
1,909,[4],['E'],E,4
1,910,[5],['F'],F,3
1,911,[4],['E'],E,4
1,912,[4],['E'],E,4
1,913,[1],['B'],B,7
1,914,[6],['G'],G,2
1,915,[5],['F'],F,3
1,916,[5],['F'],F,3
1,917,[6],['G'],G,2
1,918,[3],['D'],D,5
1,919,[1],['B'],B,7
1,920,[6],['G'],G,2
1,921,[5],['F'],F,3
1,922,[4],['E'],E,4
1,923,[2],['C'],C,6
1,924,[1],['B'],B,7
1,925,[1],['B'],B,7
1,926,[1],['B'],B,7
1,927,[4],['E'],E,4
